datos/index,datos/nombre,datos/apellido,datos/edad,datos/gender,datos/email,datos/phone,datos/address,datos/about,datos/matriculado,datos/cursos/0/id,datos/cursos/0/curso,datos/cursos/0/nota,datos/cursos/1/id,datos/cursos/1/curso,datos/cursos/1/nota,datos/cursos/2/id,datos/cursos/2/curso,datos/cursos/2/nota,datos/cursos/3/id,datos/cursos/3/curso,datos/cursos/3/nota
45,Hattie,Berg,40,female,hattieberg@pathways.com,+1 (958) 409-2481,"297 Guernsey Street, Northridge, Iowa, 2817","Est proident aute ex nulla laboris ullamco ea fugiat veniam culpa est id do non. Sint tempor pariatur fugiat elit aliqua fugiat. Est veniam voluptate ex adipisicing veniam labore non id anim amet pariatur magna occaecat. Consectetur anim sint id sunt dolor id nostrud. Ad cupidatat voluptate enim dolore in irure voluptate est nulla. Sint Lorem veniam dolor excepteur proident nisi veniam enim qui excepteur.
",2017-02-04T03:35:28 +05:00,0,Algebra lineal,1.9689,1,Calculo diferencial,0.7303,2,POO,2.1773,3,CTD,0.4203
46,Elsie,Kidd,36,female,elsiekidd@pathways.com,+1 (917) 412-3293,"385 Llama Court, Ona, Wisconsin, 3607","Culpa commodo culpa ut et ex est ut consequat cillum excepteur labore. Labore minim incididunt adipisicing aliquip proident non ut magna voluptate deserunt duis nulla duis. Aute deserunt quis est minim esse qui quis cupidatat duis.
",2020-07-24T08:49:48 +05:00,0,Algebra lineal,3.4228,1,Calculo diferencial,3.4536,2,POO,4.983,3,CTD,2.8359
47,Lindsey,Dennis,28,male,lindseydennis@pathways.com,+1 (958) 519-2109,"464 Emerson Place, Malo, Utah, 9070","Officia duis elit velit minim duis et in magna exercitation eu sunt aute mollit. Proident dolor aliqua culpa esse reprehenderit mollit magna aute ut laborum irure. Cupidatat quis est mollit velit proident. Excepteur aliqua aliqua sit quis in enim adipisicing dolore in magna ullamco nisi Lorem. Commodo occaecat commodo culpa Lorem reprehenderit. Incididunt velit eu nostrud cupidatat id elit irure.
",2017-03-09T07:15:18 +05:00,0,Algebra lineal,0.8299,1,Calculo diferencial,3.7545,2,POO,0.9925,3,CTD,3.5672
48,Decker,Nelson,22,male,deckernelson@pathways.com,+1 (955) 581-2423,"725 Berkeley Place, Logan, Arizona, 661","Est mollit duis est ea anim nulla voluptate consectetur fugiat ut ea aliqua laborum laboris. Aliquip ex tempor culpa proident pariatur. Aute consequat labore dolor non occaecat reprehenderit eu elit duis elit.
",2020-10-09T03:42:26 +05:00,0,Algebra lineal,4.2305,1,Calculo diferencial,2.7904,2,POO,3.4728,3,CTD,2.875
49,Vonda,Stevenson,34,female,vondastevenson@pathways.com,+1 (874) 483-3501,"727 Kingsway Place, Hachita, Virginia, 9973","Esse reprehenderit incididunt aliqua consequat esse amet aliquip occaecat id exercitation dolore aute nostrud. Ipsum veniam occaecat occaecat nostrud minim proident in excepteur laboris. Dolore enim labore officia aliquip excepteur veniam Lorem aute. Aliquip officia amet magna aliquip est esse esse.
",2022-11-26T01:14:29 +05:00,0,Algebra lineal,0.936,1,Calculo diferencial,0.623,2,POO,0.8952,3,CTD,0.0196
50,Wilkerson,Richard,32,male,wilkersonrichard@pathways.com,+1 (935) 567-2992,"509 Douglass Street, Fairhaven, Nevada, 1410","Labore proident adipisicing laborum consequat cupidatat esse non. Exercitation occaecat irure eiusmod aliqua. Commodo cillum id consectetur commodo ut eu aute id anim cillum. Incididunt excepteur nostrud sint est nisi excepteur nostrud labore amet dolor. Dolore dolor proident nisi anim dolor adipisicing. Aute labore nisi proident adipisicing dolore ad dolore labore occaecat magna sit.
",2022-04-11T09:49:27 +05:00,0,Algebra lineal,3.008,1,Calculo diferencial,4.2581,2,POO,2.2809,3,CTD,0.5372
51,Cantu,Albert,21,male,cantualbert@pathways.com,+1 (944) 476-2030,"187 Cranberry Street, Sultana, Colorado, 4992","Occaecat id et eu deserunt consectetur commodo elit ullamco mollit dolor in sunt nulla reprehenderit. Ullamco sint sunt elit voluptate anim mollit elit id. Cupidatat sit incididunt ex minim occaecat adipisicing laboris nisi aute ea ipsum pariatur ut. Laboris labore irure commodo ex adipisicing culpa cillum cillum id eu minim. Deserunt fugiat incididunt dolore nulla ipsum mollit occaecat ea culpa. Est esse enim ut consectetur veniam laborum. Aliqua sit consectetur cillum sint commodo esse.
",2022-08-16T08:17:22 +05:00,0,Algebra lineal,2.8504,1,Calculo diferencial,4.8385,2,POO,3.0551,3,CTD,2.8601
52,Catalina,Willis,20,female,catalinawillis@pathways.com,+1 (812) 406-2521,"841 Howard Place, Klondike, Vermont, 3801","Aliqua eiusmod quis fugiat ullamco aliqua in pariatur Lorem ea non enim dolor. Veniam commodo sint cupidatat ex voluptate. Labore adipisicing laborum pariatur ex nisi et tempor duis occaecat exercitation enim. In minim ea nisi ipsum occaecat.
",2016-10-16T05:06:34 +05:00,0,Algebra lineal,3.5254,1,Calculo diferencial,3.0169,2,POO,2.7308,3,CTD,4.5732
53,Clark,Lloyd,24,male,clarklloyd@pathways.com,+1 (891) 492-2932,"107 Moore Place, Matthews, Wyoming, 3771","Deserunt anim enim ex magna eu laborum cupidatat officia velit non ad. Aute ipsum consequat excepteur minim velit cillum deserunt dolor commodo. Occaecat id aute ut exercitation cupidatat ex ipsum voluptate enim quis deserunt magna non sint. Irure non in eu proident amet. Nostrud pariatur ad qui consequat voluptate nulla fugiat do cupidatat incididunt dolore laborum. Id adipisicing veniam in aute. Cillum cillum esse occaecat veniam labore aute cillum consequat incididunt tempor eiusmod.
",2016-10-05T04:44:36 +05:00,0,Algebra lineal,2.5349,1,Calculo diferencial,1.2598,2,POO,3.0541,3,CTD,2.0135
54,Drake,Pacheco,34,male,drakepacheco@pathways.com,+1 (822) 559-3526,"347 Joralemon Street, Whitestone, Mississippi, 8641","Tempor ullamco deserunt proident deserunt labore. Ut excepteur non quis reprehenderit et veniam officia mollit magna labore. Duis laboris proident quis ut.
",2014-07-16T01:35:06 +05:00,0,Algebra lineal,3.1016,1,Calculo diferencial,0.2629,2,POO,1.326,3,CTD,0.0662
55,Leblanc,Lucas,33,male,leblanclucas@pathways.com,+1 (811) 554-3368,"550 Rutledge Street, Chesapeake, Montana, 7614","Aliquip Lorem ad aliquip cillum. Veniam incididunt do commodo cupidatat laboris nostrud non Lorem irure nostrud cupidatat esse enim deserunt. Labore minim veniam fugiat magna. Labore nulla ut fugiat non et ex proident cupidatat occaecat nostrud sunt nulla esse. Adipisicing cupidatat quis duis veniam. Mollit nostrud do fugiat mollit voluptate velit adipisicing officia elit voluptate nostrud laboris. Nisi ipsum fugiat laborum et aliqua dolore laborum magna laborum elit dolore sit duis ullamco.
",2019-04-02T05:56:49 +05:00,0,Algebra lineal,3.3382,1,Calculo diferencial,4.8779,2,POO,0.928,3,CTD,2.2569
56,Casey,Savage,32,male,caseysavage@pathways.com,+1 (981) 540-2124,"887 Adler Place, Oceola, Nebraska, 5502","Elit dolor sint consequat dolore elit quis anim in ullamco ad. Occaecat commodo ipsum laborum est ullamco dolor. Dolore Lorem nostrud nostrud non dolore dolor exercitation magna occaecat et ea reprehenderit irure velit. Laborum qui irure eu minim quis ullamco ut. Non ex laborum culpa veniam irure culpa magna. Ullamco adipisicing ea sit dolore eu laborum consectetur cillum eiusmod exercitation non id eiusmod. Excepteur excepteur enim qui proident exercitation do id.
",2016-08-16T12:30:42 +05:00,0,Algebra lineal,3.8536,1,Calculo diferencial,3.8785,2,POO,3.3482,3,CTD,3.8126
57,Tanner,Mosley,24,male,tannermosley@pathways.com,+1 (816) 499-2910,"679 Cortelyou Road, Delco, Maryland, 9808","Quis consequat quis aliquip deserunt ex commodo ullamco culpa. Reprehenderit cillum dolor nisi ad fugiat veniam ullamco. Aute in in officia incididunt incididunt dolore mollit nisi irure cillum sint magna.
",2014-12-15T12:02:08 +05:00,0,Algebra lineal,1.2439,1,Calculo diferencial,0.709,2,POO,3.8433,3,CTD,2.529
58,Powell,Cruz,24,male,powellcruz@pathways.com,+1 (885) 495-3154,"514 Grand Avenue, Stewart, Virgin Islands, 1964","Ea officia pariatur sit minim cupidatat incididunt adipisicing nulla pariatur. Mollit ex nostrud cillum id cillum cupidatat. Minim laboris enim ex aliquip ad minim pariatur enim. Esse laboris velit in sit voluptate duis do.
",2017-11-28T11:34:40 +05:00,0,Algebra lineal,2.5721,1,Calculo diferencial,2.4412,2,POO,1.6971,3,CTD,0.0539
59,Luella,Espinoza,27,female,luellaespinoza@pathways.com,+1 (835) 526-2906,"847 Kane Street, Nicut, New Hampshire, 8032","Laborum elit cillum occaecat ullamco culpa veniam duis esse duis est ipsum et voluptate. Nostrud et et ea pariatur culpa culpa. Esse ex reprehenderit amet dolor non pariatur ipsum quis.
",2021-01-18T04:05:52 +05:00,0,Algebra lineal,3.2354,1,Calculo diferencial,4.7492,2,POO,1.3439,3,CTD,2.2448
60,Betty,Mcmillan,29,female,bettymcmillan@pathways.com,+1 (980) 596-3690,"777 Bouck Court, Calvary, Maine, 9104","Fugiat dolor aute laborum mollit id amet id sunt Lorem ut. Cupidatat duis labore occaecat magna adipisicing. Consectetur velit consequat commodo eiusmod nisi aliqua pariatur mollit. Reprehenderit adipisicing dolore ut Lorem.
",2016-12-30T09:06:59 +05:00,0,Algebra lineal,0.3091,1,Calculo diferencial,1.5705,2,POO,3.5881,3,CTD,4.0143
61,Monique,Pugh,32,female,moniquepugh@pathways.com,+1 (980) 440-3566,"264 Gunnison Court, Bellfountain, Missouri, 7311","Sunt id laborum Lorem occaecat. Excepteur anim voluptate officia anim non mollit id. Irure Lorem nulla eiusmod commodo mollit adipisicing ea in elit enim. Voluptate fugiat magna fugiat ullamco nisi commodo laborum incididunt elit esse occaecat exercitation anim nisi. Et cillum culpa est sunt duis occaecat consectetur ad occaecat ad est deserunt laboris commodo. Ex culpa dolor fugiat minim.
",2016-04-26T09:00:48 +05:00,0,Algebra lineal,1.8389,1,Calculo diferencial,3.8257,2,POO,2.0447,3,CTD,2.4626
62,Sutton,Wyatt,20,male,suttonwyatt@pathways.com,+1 (990) 526-2401,"256 Halsey Street, Shasta, Puerto Rico, 6551","Elit consequat labore amet non aliquip irure commodo proident adipisicing est. Officia irure consequat eiusmod in velit mollit commodo labore voluptate. Culpa tempor officia aute sint consequat ex nulla fugiat proident qui cupidatat. Aliqua labore qui proident officia cupidatat mollit incididunt id proident ullamco irure velit ut ex.
",2022-01-18T10:46:52 +05:00,0,Algebra lineal,0.8035,1,Calculo diferencial,3.7238,2,POO,2.6246,3,CTD,2.3645
63,Leanna,Wise,26,female,leannawise@pathways.com,+1 (830) 449-2447,"130 Gelston Avenue, Vivian, Massachusetts, 3245","Aliquip amet sint consequat duis. Do ex excepteur exercitation adipisicing incididunt aute exercitation. Ullamco nulla id sit in officia deserunt qui dolore ullamco laborum. Do nisi reprehenderit dolore quis consequat ex elit quis laborum eu occaecat excepteur esse culpa. Nisi excepteur anim reprehenderit tempor quis incididunt commodo deserunt cillum cupidatat ut duis veniam. Duis dolore ad non nulla anim aute sunt. Occaecat reprehenderit qui eu ut laboris cupidatat incididunt esse velit non ad consectetur pariatur consectetur.
",2015-08-03T05:10:56 +05:00,0,Algebra lineal,3.6529,1,Calculo diferencial,0.7871,2,POO,4.9753,3,CTD,2.2482
64,Alexandria,Fuentes,33,female,alexandriafuentes@pathways.com,+1 (936) 590-2248,"796 Berry Street, Starks, District Of Columbia, 933","Dolor sunt qui est ut. Officia enim nisi voluptate aliquip voluptate laborum excepteur do enim tempor. Quis aliqua minim cillum aliquip magna adipisicing ipsum quis non. Amet aute dolor ipsum officia dolore elit fugiat sint. Id aliquip ipsum anim dolor cupidatat esse ea deserunt qui magna. Nostrud nostrud non quis est deserunt et qui eu occaecat excepteur elit minim id in.
",2020-04-02T02:50:24 +05:00,0,Algebra lineal,0.3034,1,Calculo diferencial,1.6038,2,POO,2.9091,3,CTD,2.8624
65,Key,Holmes,20,male,keyholmes@pathways.com,+1 (924) 479-3062,"429 Fleet Walk, Bentonville, Idaho, 1050","Excepteur ullamco anim commodo incididunt mollit pariatur magna commodo id. Commodo occaecat qui nisi eu anim. Nostrud irure pariatur anim id adipisicing deserunt nostrud mollit voluptate reprehenderit.
",2020-08-21T05:53:59 +05:00,0,Algebra lineal,0.5332,1,Calculo diferencial,2.3451,2,POO,2.4704,3,CTD,2.6611
66,Vinson,Brady,27,male,vinsonbrady@pathways.com,+1 (946) 414-3817,"535 Gem Street, Graniteville, Kansas, 105","Id aliqua tempor laborum ex Lorem. Nisi sint quis est deserunt culpa esse deserunt irure laborum fugiat. Ex sunt incididunt eiusmod nisi culpa amet ea commodo nostrud eu nulla elit. Deserunt reprehenderit magna ea ea culpa non minim est Lorem. Ad aliqua Lorem qui veniam cillum quis fugiat laboris culpa nisi occaecat anim. Aliquip culpa cupidatat dolore ea. Qui nisi id Lorem esse sit tempor commodo deserunt duis pariatur elit incididunt id.
",2021-12-10T12:27:26 +05:00,0,Algebra lineal,0.056,1,Calculo diferencial,4.8286,2,POO,0.7233,3,CTD,3.3224
67,Maryanne,Ferguson,28,female,maryanneferguson@pathways.com,+1 (932) 568-2002,"554 Cheever Place, Florence, Oklahoma, 8031","Et sit laboris non non labore. Ad consectetur cupidatat eu commodo dolor veniam in do. Elit ipsum ex eu eiusmod veniam labore ullamco.
",2022-07-05T02:38:00 +05:00,0,Algebra lineal,2.4179,1,Calculo diferencial,2.6162,2,POO,1.5222,3,CTD,1.8046
68,Price,Gentry,36,male,pricegentry@pathways.com,+1 (854) 425-2908,"595 Stewart Street, Summertown, Ohio, 2487","Reprehenderit minim officia veniam laborum id ad voluptate exercitation in duis velit pariatur incididunt. Deserunt consequat culpa deserunt nulla laboris. Officia exercitation ipsum elit quis occaecat veniam et culpa reprehenderit aliqua incididunt. Anim qui incididunt reprehenderit amet cillum. Sint mollit anim esse adipisicing tempor veniam veniam mollit. Amet consectetur amet aute nulla laboris aliqua aliqua deserunt. Voluptate magna proident et commodo magna consectetur cillum nulla do velit laborum reprehenderit.
",2022-03-13T12:18:12 +05:00,0,Algebra lineal,1.6433,1,Calculo diferencial,2.5249,2,POO,0.5447,3,CTD,0.1789
69,Annmarie,Barron,38,female,annmariebarron@pathways.com,+1 (986) 545-2324,"442 Garland Court, Bowie, Guam, 3233","Et commodo deserunt ut velit ea ipsum labore dolore nisi officia cillum do aliqua velit. Nostrud Lorem excepteur ad nisi reprehenderit dolore. Minim exercitation aute do fugiat nisi cupidatat ea est proident nulla excepteur. Excepteur ea laboris eiusmod exercitation commodo exercitation veniam enim reprehenderit. Nulla eu non ea exercitation sit. Est adipisicing cillum non ea voluptate magna. Id consectetur excepteur velit consequat irure proident et quis quis ad.
",2020-02-24T01:59:54 +05:00,0,Algebra lineal,4.0936,1,Calculo diferencial,2.0046,2,POO,4.5387,3,CTD,4.4589
70,Dickerson,Goodwin,38,male,dickersongoodwin@pathways.com,+1 (828) 431-2802,"119 Miller Avenue, Beaulieu, Northern Mariana Islands, 2014","Consectetur dolor nostrud deserunt velit laborum aliqua dolor. Commodo est do quis magna fugiat esse dolor sit deserunt cillum cupidatat. Cupidatat mollit duis proident enim aliquip aliquip nulla sunt adipisicing nisi. Consectetur sint sit irure irure dolore. Deserunt exercitation ullamco Lorem ex elit magna excepteur nostrud officia ex nisi. Laboris sint velit nisi aute veniam.
",2015-07-14T10:34:31 +05:00,0,Algebra lineal,1.9307,1,Calculo diferencial,1.2569,2,POO,2.1391,3,CTD,4.6061
71,Denise,Salazar,40,female,denisesalazar@pathways.com,+1 (864) 536-2100,"707 Lake Place, Gambrills, West Virginia, 715","Aliqua est quis deserunt nulla eiusmod ullamco ullamco ut. Sunt sunt consectetur sint est duis. Consectetur duis aute occaecat do tempor ex aliqua velit. Tempor amet est Lorem et proident veniam irure est proident qui minim. Incididunt culpa excepteur ut sit nulla dolor culpa.
",2019-06-20T11:36:42 +05:00,0,Algebra lineal,0.1644,1,Calculo diferencial,1.899,2,POO,2.3084,3,CTD,0.0453
72,Finch,Page,35,male,finchpage@pathways.com,+1 (959) 416-2149,"186 Denton Place, Whitewater, North Carolina, 2259","Occaecat in non tempor pariatur Lorem eu voluptate incididunt ea labore do. Magna cupidatat irure sint consequat in minim et occaecat aliqua laboris. Ut irure dolore officia nulla cillum ipsum ad sit quis laboris. Id ea dolor amet excepteur laboris eiusmod reprehenderit est. Consequat ad id pariatur culpa. Lorem sit anim sint culpa enim nulla ea nulla velit tempor labore ipsum.
",2015-03-26T07:36:34 +05:00,0,Algebra lineal,0.6577,1,Calculo diferencial,0.5616,2,POO,4.8549,3,CTD,1.5592
73,Riggs,Robbins,30,male,riggsrobbins@pathways.com,+1 (822) 421-3102,"480 Noble Street, Mulberry, South Dakota, 6758","Enim labore eiusmod aute reprehenderit ut minim ut. Lorem mollit dolore aute aute consequat velit amet deserunt exercitation velit consectetur incididunt. Enim sit magna consequat consectetur ut minim excepteur cillum aute aliqua ullamco adipisicing. Nulla in adipisicing eiusmod occaecat aliquip velit quis fugiat.
",2022-04-18T02:02:14 +05:00,0,Algebra lineal,4.8722,1,Calculo diferencial,2.6447,2,POO,1.8813,3,CTD,0.1698
74,Avis,Gibson,31,female,avisgibson@pathways.com,+1 (805) 496-2085,"284 Highlawn Avenue, Clay, Tennessee, 9487","Mollit irure minim incididunt laborum eiusmod veniam officia nostrud sit. Occaecat ea veniam do labore minim enim voluptate commodo esse dolore irure. Nostrud proident ea ex fugiat fugiat exercitation ipsum cillum anim mollit excepteur. Qui aliquip aliqua quis Lorem enim incididunt sunt cillum veniam culpa pariatur ea nulla. Ipsum duis ullamco consectetur ad elit enim nisi esse labore.
",2016-11-14T02:57:08 +05:00,0,Algebra lineal,1.5303,1,Calculo diferencial,4.6153,2,POO,3.3158,3,CTD,0.0071
75,Vera,Serrano,27,female,veraserrano@pathways.com,+1 (907) 536-3799,"254 Chapel Street, Lafferty, Texas, 1250","Ad ad deserunt mollit laboris pariatur ut ex non exercitation ullamco Lorem aute. Dolor deserunt amet non nostrud exercitation laboris adipisicing. Deserunt nisi et anim occaecat ea ea consequat ea. Id sint non veniam dolore. Ad amet aute occaecat fugiat elit qui duis ipsum est eu laboris veniam fugiat in. Labore ad ea enim enim velit ut. Dolor culpa reprehenderit laboris sunt non consequat tempor pariatur.
",2016-11-01T10:03:25 +05:00,0,Algebra lineal,0.9131,1,Calculo diferencial,0.8679,2,POO,4.7912,3,CTD,0.6169
76,Mae,Oliver,29,female,maeoliver@pathways.com,+1 (875) 503-3222,"146 Livingston Street, Mooresburg, Oregon, 4802","Incididunt cupidatat reprehenderit id aliqua et ullamco ullamco minim ea enim pariatur excepteur nisi quis. Consectetur pariatur culpa consequat culpa nulla consectetur exercitation quis laborum mollit nisi eiusmod. Sunt tempor culpa proident nisi tempor velit ad adipisicing quis. Voluptate quis non sit velit. Lorem veniam et fugiat ex. Magna aliqua nulla nisi excepteur et irure deserunt laborum et exercitation velit. Cillum proident voluptate est excepteur ad eiusmod sint veniam eu esse qui nisi amet elit.
",2018-07-04T05:00:18 +05:00,0,Algebra lineal,4.1787,1,Calculo diferencial,4.2984,2,POO,2.9358,3,CTD,1.2494
77,Pansy,West,26,female,pansywest@pathways.com,+1 (843) 445-2232,"538 India Street, Bainbridge, Michigan, 4143","Consequat do adipisicing id culpa qui velit aute eiusmod amet nulla ut esse. Do eiusmod ullamco deserunt excepteur minim anim in proident excepteur excepteur fugiat occaecat. Reprehenderit duis ad ullamco commodo aute dolor nostrud. Commodo officia aliqua non ut. Minim sint non nisi in ex incididunt ut esse laboris ullamco mollit adipisicing consectetur consequat. Magna cupidatat mollit in elit ex do fugiat labore adipisicing quis velit. Elit amet sit ipsum aliquip consectetur sint aliquip nulla magna.
",2016-12-13T02:10:19 +05:00,0,Algebra lineal,0.7343,1,Calculo diferencial,2.8647,2,POO,2.2346,3,CTD,2.4804
78,Gross,Rosales,31,male,grossrosales@pathways.com,+1 (803) 532-3268,"223 Montague Terrace, Sehili, Alaska, 988","Incididunt sit incididunt ut tempor mollit do. Id eiusmod consectetur occaecat adipisicing irure culpa consequat. Cupidatat qui culpa incididunt velit velit aute ad incididunt eiusmod enim eu fugiat sunt. Veniam sint consequat voluptate esse ipsum aliqua ut cupidatat deserunt commodo consectetur. Sit deserunt excepteur non et nostrud sunt adipisicing consectetur labore labore. Nulla consequat in dolore sint amet est mollit non est amet sint dolor. Consequat eiusmod aliqua qui adipisicing ipsum Lorem occaecat ipsum laborum esse in est nostrud.
",2020-09-30T11:04:12 +05:00,0,Algebra lineal,1.6667,1,Calculo diferencial,2.21,2,POO,2.9416,3,CTD,2.4581
79,Simone,Donovan,28,female,simonedonovan@pathways.com,+1 (915) 583-3590,"255 Kings Place, Curtice, North Dakota, 1739","Deserunt voluptate cupidatat ut id aliquip commodo laborum. Nulla id enim mollit veniam ea. Exercitation veniam sint qui velit sint sunt voluptate minim. Esse adipisicing amet officia enim laborum excepteur fugiat. Pariatur reprehenderit consequat eiusmod est nisi esse voluptate do voluptate ea voluptate cillum nostrud. Labore cupidatat ea non minim dolore minim reprehenderit minim excepteur.
",2021-02-28T04:32:45 +05:00,0,Algebra lineal,1.5907,1,Calculo diferencial,0.9596,2,POO,3.5602,3,CTD,2.4152
80,Ana,Coffey,31,female,anacoffey@pathways.com,+1 (901) 479-2126,"822 Dekoven Court, Eureka, New Jersey, 6179","Aliqua sunt sit eu voluptate ullamco do tempor anim qui officia fugiat anim nulla ad. Laborum labore consectetur ut eiusmod duis et fugiat laborum culpa occaecat nulla. Pariatur sint nulla nostrud non veniam dolore nostrud incididunt excepteur aute culpa in occaecat. Officia est ex nostrud fugiat. Quis officia velit irure dolor deserunt eiusmod esse veniam quis non Lorem. Aliquip nulla do ut laborum eiusmod excepteur consectetur velit Lorem exercitation laboris enim velit. Dolore consequat velit reprehenderit cupidatat et aliquip.
",2021-08-16T05:03:52 +05:00,0,Algebra lineal,2.5425,1,Calculo diferencial,4.373,2,POO,3.3835,3,CTD,1.2601
81,Latisha,Acevedo,28,female,latishaacevedo@pathways.com,+1 (942) 433-2110,"827 Grimes Road, Harold, Arkansas, 8364","Deserunt cupidatat laboris sit tempor irure ea Lorem voluptate. Deserunt nulla cillum tempor culpa aliquip ea dolor mollit sunt dolor deserunt dolore. Elit duis esse fugiat laboris veniam reprehenderit qui occaecat. Ex nostrud Lorem voluptate duis culpa Lorem voluptate. Id labore elit mollit elit eu nisi dolor. Dolore dolore pariatur eu eu Lorem dolore velit. Consectetur ut occaecat culpa eiusmod ea labore incididunt magna tempor ut.
",2018-10-19T12:12:22 +05:00,0,Algebra lineal,1.5784,1,Calculo diferencial,0.3191,2,POO,2.7608,3,CTD,4.1213
82,Rosario,Sykes,31,male,rosariosykes@pathways.com,+1 (892) 406-3459,"830 Lawton Street, Lutsen, Georgia, 8498","Dolore non ad est occaecat laboris consectetur aute reprehenderit est quis sunt. Incididunt dolor cillum culpa quis. Anim nostrud deserunt aliquip Lorem deserunt sunt aute Lorem irure. Dolore qui dolor sunt dolore minim enim elit magna sint pariatur ea sunt qui. Id est non tempor non ea do in ad labore irure mollit. Sunt minim dolor magna minim sint laborum mollit. Duis fugiat culpa ut dolor pariatur.
",2017-11-13T09:23:28 +05:00,0,Algebra lineal,3.7058,1,Calculo diferencial,1.6152,2,POO,0.9333,3,CTD,2.3669
83,English,Bray,32,male,englishbray@pathways.com,+1 (912) 505-2737,"596 Glen Street, Morningside, New York, 6088","Adipisicing laboris in aliquip consectetur dolore Lorem dolore commodo sit veniam quis Lorem. Irure anim ipsum consectetur veniam officia in ut. Lorem ex minim proident eiusmod do elit commodo culpa ut. Adipisicing non aliquip sunt sit consequat cupidatat deserunt do. Magna officia duis occaecat culpa esse irure. Ea voluptate in amet qui irure ullamco elit esse esse ipsum sunt laborum excepteur ad. Cupidatat ex consectetur consectetur irure sit eiusmod aute ipsum amet dolor aliquip consectetur.
",2022-10-14T04:01:21 +05:00,0,Algebra lineal,4.6586,1,Calculo diferencial,0.7565,2,POO,4.0018,3,CTD,3.946
84,Townsend,Osborn,35,male,townsendosborn@pathways.com,+1 (835) 527-2472,"803 Williams Court, Crisman, American Samoa, 8130","Magna veniam pariatur anim quis nisi pariatur enim commodo sint exercitation esse culpa consequat. Ad pariatur fugiat dolor dolor ea id nostrud. Aliquip aute pariatur veniam Lorem magna amet.
",2019-06-15T07:53:32 +05:00,0,Algebra lineal,2.3108,1,Calculo diferencial,4.8344,2,POO,1.202,3,CTD,3.8838
85,Tammi,Gill,33,female,tammigill@pathways.com,+1 (946) 483-2979,"903 Monroe Place, Jacumba, Delaware, 8543","Reprehenderit deserunt sit est deserunt aliquip pariatur consectetur fugiat. Aute minim anim aute pariatur proident aliquip Lorem minim. Consequat cillum ex tempor ex non nulla occaecat reprehenderit in ullamco irure reprehenderit ut ea. Laboris ut ipsum ad cupidatat dolor incididunt magna do Lorem. Et eu qui aliquip cillum excepteur minim.
",2019-01-29T07:06:21 +05:00,0,Algebra lineal,4.5254,1,Calculo diferencial,2.6989,2,POO,1.8792,3,CTD,2.4955
86,Randolph,Flores,24,male,randolphflores@pathways.com,+1 (991) 546-2102,"989 Hillel Place, Walker, Federated States Of Micronesia, 393","Ex non duis deserunt minim commodo laboris consequat sint consectetur irure duis ad quis commodo. Duis laboris consequat culpa ipsum elit eu ad consectetur excepteur in. Ullamco aliqua culpa esse quis. Eu anim incididunt sunt mollit elit veniam adipisicing velit culpa. Labore nostrud aliquip eu enim excepteur ea laborum pariatur sunt incididunt proident.
",2022-01-25T03:07:59 +05:00,0,Algebra lineal,4.9806,1,Calculo diferencial,0.2334,2,POO,4.0529,3,CTD,0.1862
87,Heidi,Poole,34,female,heidipoole@pathways.com,+1 (825) 444-2982,"150 Dictum Court, Celeryville, Kentucky, 2326","Elit nisi irure amet culpa anim ut nisi. Enim sunt reprehenderit enim sint ipsum aliqua. Adipisicing excepteur anim do amet deserunt sit pariatur ea ut aliqua et consectetur. Sit est aliquip deserunt qui Lorem labore adipisicing excepteur aliqua. Excepteur consectetur sint non sit.
",2019-07-03T11:51:31 +05:00,0,Algebra lineal,1.6402,1,Calculo diferencial,0.8363,2,POO,3.8341,3,CTD,2.4493
88,Penny,Howe,37,female,pennyhowe@pathways.com,+1 (865) 594-2256,"432 Oak Street, Beechmont, California, 9108","Adipisicing non culpa pariatur cupidatat ut amet magna consectetur consequat aliquip. Est voluptate minim minim enim amet nulla non aliqua incididunt nulla aliqua ea. Laboris mollit aliqua occaecat do enim dolor ullamco velit occaecat. Veniam non labore ullamco do ipsum. Qui ipsum cillum qui commodo ullamco fugiat veniam. Consequat excepteur adipisicing aliqua non aute dolor reprehenderit est dolore.
",2017-05-23T07:03:19 +05:00,0,Algebra lineal,4.3384,1,Calculo diferencial,4.1766,2,POO,2.5646,3,CTD,2.8028
89,Eve,Farley,33,female,evefarley@pathways.com,+1 (843) 521-3640,"780 Navy Street, Bodega, Louisiana, 1085","Non ipsum tempor labore eiusmod. Labore ex aliquip laborum proident ex. Culpa ad fugiat mollit irure sit anim ad sit culpa ut nostrud in. In ullamco voluptate in duis. Laboris duis labore ipsum deserunt aliqua occaecat commodo elit ipsum adipisicing ad sunt.
",2014-04-15T04:03:42 +05:00,0,Algebra lineal,3.9957,1,Calculo diferencial,3.569,2,POO,1.1834,3,CTD,4.2097
